Event_ID,V_rms_pu,V_peak_pu,Crest_Factor,THD_percent,Duration_ms,Dominant_Freq_Hz,Freq_Hz,SNR_dB,Label
PQ_00001,0.7872,1.5359,1.951,2.415,37.8,50,49.999,46.29,Swell
PQ_00002,0.6183,1.0123,1.637,5.183,51,50,50.008,42.48,Sag
PQ_00003,0.7083,1.0045,1.418,5.132,0,50,49.979,49.96,Harmonics
PQ_00004,0.707,1.0167,1.438,2.077,5,50,50.018,40.43,Transient
PQ_00005,0.7077,1.0288,1.454,0.035,0,50,49.977,52.93,Flicker
PQ_00006,0.394,1.0043,2.549,9.946,137.3,50,50.01,39.17,Interruption
PQ_00007,0.7092,1.0222,1.441,0.039,0,50,49.976,50.46,Flicker
PQ_00008,0.7045,1.008,1.431,0.086,0,50,49.969,45.32,Normal
PQ_00009,0.711,1.2052,1.695,0.514,5,50,50.002,37.08,Transient
PQ_00010,0.7082,1.0068,1.422,2.919,0,50,49.983,48.07,Notch
PQ_00011,0.6923,1.0036,1.45,0.194,31.4,50,49.979,51,Sag
PQ_00012,0.3124,1.0044,3.215,5.596,163.2,50,49.995,40.78,Interruption
PQ_00013,0.6831,1.0036,1.469,0.557,63.3,50,50.011,51.37,Sag
PQ_00014,0.7045,1.0039,1.425,0.09,0,50,49.956,44.89,Normal
PQ_00015,0.7033,1.0238,1.456,0.19,0,50,50.033,38.45,Normal
PQ_00016,0.71,1.0639,1.499,0.132,0,50,50.003,39.94,Flicker
PQ_00017,0.7079,0.9932,1.403,5.131,0,50,50.024,39.35,Harmonics
PQ_00018,0.6389,1.0033,1.57,1.255,38.7,50,50.008,51.6,Sag
PQ_00019,0.7083,1.0396,1.468,0.03,0,50,50.029,54.81,Flicker
PQ_00020,0.7198,1.0293,1.43,0.076,0,50,49.987,43.94,Normal
PQ_00021,0.708,1.0354,1.462,4.97,0,50,50.021,38.98,Harmonics
PQ_00022,0.7087,1.004,1.417,2.496,0,50,50.004,53.36,Notch
PQ_00023,0.7833,1.2082,1.542,0.32,101.1,50,50.011,48.38,Swell
PQ_00024,0.7101,1.6232,2.286,0.305,5,50,49.981,52.84,Transient
PQ_00025,0.6968,0.9933,1.425,0.089,0,50,50.005,44.51,Normal
PQ_00026,0.5539,1.0041,1.813,1.358,100.1,50,50.003,48.35,Sag
PQ_00027,0.712,2.1167,2.973,0.892,5,50,50.001,38.76,Transient
PQ_00028,0.746,1.2606,1.69,0.308,36.2,50,50.003,54.16,Swell
PQ_00029,0.7087,1.0099,1.425,0.052,0,50,50.034,49.96,Normal
PQ_00030,0.7004,0.9981,1.425,0.085,0,50,50,46.72,Normal
