rms_voltage,peak_voltage,crest_factor,thd,duration,dominant_freq,system_freq,snr,label
0.7105,1.516,2.134,0.99,5.0,50,50.021,36.34,Transient
0.6902,0.9804,1.42,0.033,0.0,50,50.018,51.72,Normal
0.6444,1.0095,1.566,3.148,36.4,50,50.046,43.99,Sag
0.7083,1.059,1.495,5.706,0.0,50,50.005,52.6,Harmonics
0.7088,1.1992,1.692,1.025,5.0,50,49.998,51.05,Transient
0.713,2.1007,2.946,0.408,5.0,50,50.038,41.82,Transient
0.7115,1.0217,1.436,0.163,0.0,50,49.988,39.72,Normal
0.7024,0.9965,1.419,0.033,0.0,50,49.987,52.43,Normal
0.7187,1.0292,1.432,0.09,0.0,50,50.009,43.33,Normal
0.7128,1.0592,1.486,0.155,0.0,50,49.979,38.87,Flicker
0.7095,1.1342,1.599,8.765,0.0,50,50.02,36.46,Harmonics
0.6498,1.0073,1.55,1.586,40.1,50,50.024,42.96,Sag
0.6263,1.0034,1.602,0.141,155.7,50,50.004,49.61,Sag
0.7077,1.3825,1.953,0.218,5.0,50,50.005,45.03,Transient
0.4402,1.0031,2.279,5.759,128.3,50,49.997,49.54,Sag
0.6614,1.0018,1.515,0.589,96.9,50,49.989,53.42,Sag
0.7065,1.0279,1.455,0.225,0.0,50,50.037,36.26,Normal
0.7082,1.0777,1.522,0.178,0.0,50,49.99,39.28,Flicker
0.7079,1.0033,1.417,0.834,0.0,50,50.031,54.13,Notch
0.8478,1.8184,2.145,1.533,39.1,50,49.999,35.11,Swell
0.708,1.0098,1.426,1.873,0.0,50,49.978,44.73,Notch
0.7173,1.0222,1.425,0.052,0.0,50,49.984,46.98,Normal
0.8213,1.7462,2.126,3.151,35.9,50,49.972,37.85,Swell
0.7093,1.0649,1.502,0.029,0.0,50,50.042,54.35,Flicker
0.7086,1.0051,1.418,0.033,0.0,50,50.001,52.63,Normal
0.6531,1.0049,1.539,3.591,28.3,50,49.979,48.13,Interruption
