,precision,recall,f1-score,support
Flicker,1.0,0.8907563025210085,0.9422222222222222,119.0
Harmonics,0.9866666666666667,0.940677966101695,0.9631236442516269,236.0
Interruption,0.7745098039215687,0.9634146341463414,0.8586956521739131,164.0
Normal,0.978688524590164,1.0,0.9892294946147473,597.0
Notch,0.8390804597701149,0.9605263157894737,0.8957055214723927,76.0
Sag,0.981651376146789,0.8746594005449592,0.9250720461095101,367.0
Swell,1.0,1.0,1.0,244.0
Transient,1.0,1.0,1.0,197.0
accuracy,0.959,0.959,0.959,0.959
macro avg,0.9450746038869129,0.9537543273879348,0.9467560726055515,2000.0
weighted avg,0.9640930801725994,0.959,0.9596963901417233,2000.0
